"filename", "language", "JSON", "PostCSS", "PHP", "Markdown", "XML", "Properties", "Batch", "JavaScript", "Shell Script", "Diff", "YAML", "Ignore", "HTML", "reStructuredText", "comment", "blank", "total"
"c:\Users\alter\gw2-guild-login\vendor\bin\phpcs.bat", "Batch", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\alter\gw2-guild-login\vendor\bin\phpstan.bat", "Batch", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\alter\gw2-guild-login\vendor\bin\phpstan.phar.bat", "Batch", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\alter\gw2-guild-login\vendor\bin\phpunit.bat", "Batch", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\alter\gw2-guild-login\vendor\composer\ClassLoader.php", "PHP", 0, 0, 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 235, 59, 580
"c:\Users\alter\gw2-guild-login\vendor\composer\InstalledVersions.php", "PHP", 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 54, 397
"c:\Users\alter\gw2-guild-login\vendor\composer\autoload_classmap.php", "PHP", 0, 0, 672, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 677
"c:\Users\alter\gw2-guild-login\vendor\composer\autoload_files.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
"c:\Users\alter\gw2-guild-login\vendor\composer\autoload_namespaces.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10
"c:\Users\alter\gw2-guild-login\vendor\composer\autoload_psr4.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\alter\gw2-guild-login\vendor\composer\autoload_real.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 51
"c:\Users\alter\gw2-guild-login\vendor\composer\autoload_static.php", "PHP", 0, 0, 743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 753
"c:\Users\alter\gw2-guild-login\vendor\composer\installed.json", "JSON", 2597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2598
"c:\Users\alter\gw2-guild-login\vendor\composer\installed.php", "PHP", 0, 0, 365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 366
"c:\Users\alter\gw2-guild-login\vendor\composer\platform_check.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Users\alter\gw2-guild-login\vendor\dealerdirect\phpcodesniffer-composer-installer\LICENSE.md", "Markdown", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\alter\gw2-guild-login\vendor\dealerdirect\phpcodesniffer-composer-installer\README.md", "Markdown", 0, 0, 0, 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 286
"c:\Users\alter\gw2-guild-login\vendor\dealerdirect\phpcodesniffer-composer-installer\composer.json", "JSON", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"c:\Users\alter\gw2-guild-login\vendor\dealerdirect\phpcodesniffer-composer-installer\src\Plugin.php", "PHP", 0, 0, 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 83, 638
"c:\Users\alter\gw2-guild-login\vendor\doctrine\instantiator\.doctrine-project.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
